SYMBOL,INDUSTRY
IRFC,Credit Services
IRIS,Software—Application
IRISDOREME,Apparel Manufacturing
IRMENERGY,Utilities—Regulated Gas
ISEC,Capital Markets
ISFT,Internet Retail
ISGEC,Specialty Industrial Machinery
ISMTLTD,Steel
ITC,Tobacco
ITDC,Lodging
ITDCEM,Engineering & Construction
ITI,Communication Equipment
IVC,Financial Conglomerates
IVP,Specialty Chemicals
IWEL,Specialty Industrial Machinery
IZMO,Software—Application
J&KBANK,Banks—Regional
JAGRAN,Publishing
JAGSNPHARM,Drug Manufacturers—Specialty & Generic
JAIBALAJI,Steel
JAICORPLTD,Specialty Chemicals
JAIPURKURT,
JAMNAAUTO,Auto Parts
JASH,Specialty Industrial Machinery
JAYAGROGN,Specialty Chemicals
JAYBARMARU,Auto Parts
JAYNECOIND,Steel
JAYSREETEA,Farm Products
JBCHEPHARM,Drug Manufacturers—Specialty & Generic
JBMA,Auto Parts
JCHAC,"Furnishings, Fixtures & Appliances"
JETAIRWAYS,Airlines
JETFREIGHT,Integrated Freight & Logistics
JHS,Household & Personal Products
JINDALPHOT,Asset Management
JINDALPOLY,Specialty Chemicals
JINDALSAW,Steel
JINDALSTEL,Steel
JINDRILL,Oil & Gas Equipment & Services
JINDWORLD,Textile Manufacturing
JIOFIN,Asset Management
JISLDVREQS,Farm & Heavy Construction Machinery
JISLJALEQS,Farm & Heavy Construction Machinery
JITFINFRA,Engineering & Construction
JKCEMENT,Building Materials
JKIL,Engineering & Construction
JKLAKSHMI,Building Materials
JKPAPER,Paper & Paper Products
JKTYRE,Auto Parts
JLHL,Medical Care Facilities
JMA,Auto Parts
JMFINANCIL,Capital Markets
JOCIL,Specialty Chemicals
JPASSOCIAT,Conglomerates
JPOLYINVST,Asset Management
JPPOWER,Utilities—Independent Power Producers
JSFB,Banks—Regional
JSL,Steel
JSWENERGY,Utilities—Independent Power Producers
JSWHL,Conglomerates
JSWINFRA,Integrated Freight & Logistics
JSWSTEEL,Steel
JTEKTINDIA,Auto Parts
JTLIND,Steel
JUBLFOOD,Restaurants
JUBLINDS,Specialty Chemicals
JUBLINGREA,Specialty Chemicals
JUBLPHARMA,Drug Manufacturers—Specialty & Generic
JUNIPER,Lodging
JUSTDIAL,Internet Content & Information
JWL,Railroads
JYOTHYLAB,Household & Personal Products
JYOTICNC,Specialty Industrial Machinery
JYOTISTRUC,Specialty Industrial Machinery
KABRAEXTRU,Specialty Industrial Machinery
KAJARIACER,Building Products & Equipment
KAKATCEM,Building Materials
KALAMANDIR,Apparel Retail
KALYANI,Auto & Truck Dealerships
KALYANIFRG,Auto Parts
KALYANKJIL,Luxury Goods
KAMATHOTEL,Lodging
KAMDHENU,Steel
KAMOPAINTS,Steel
KANANIIND,Luxury Goods
KANORICHEM,Chemicals
KANPRPLA,Packaging & Containers
KANSAINER,Specialty Chemicals
KAPSTON,Specialty Business Services
KARMAENG,Utilities—Renewable
KARURVYSYA,Banks—Regional
KAUSHALYA,Engineering & Construction
KAVVERITEL,Communication Equipment
KAYA,Household & Personal Products
KAYNES,Specialty Industrial Machinery
KBCGLOBAL,Real Estate—Development
KCP,Building Materials
KCPSUGIND,Confectioners
KDDL,Luxury Goods
KEC,Engineering & Construction
KECL,Specialty Industrial Machinery
KEEPLEARN,Education & Training Services
KEI,Electrical Equipment & Parts
KELLTONTEC,Software—Application
KERNEX,Software—Application
KESORAMIND,Building Materials
KEYFINSERV,Capital Markets
KFINTECH,Software—Application
KHADIM,Footwear & Accessories
KHAICHEM,
KHAITANLTD,"Furnishings, Fixtures & Appliances"
KHANDSE,Capital Markets
KICL,Asset Management
KILITCH,Drug Manufacturers—Specialty & Generic
KIMS,Medical Care Facilities
KINGFA,Specialty Chemicals
KIOCL,Steel
KIRIINDUS,Specialty Chemicals
KIRLOSBROS,Specialty Industrial Machinery
KIRLOSENG,Specialty Industrial Machinery
KIRLOSIND,Metal Fabrication
KIRLPNU,
KITEX,Apparel Manufacturing
KKCL,Apparel Manufacturing
KMSUGAR,Confectioners
KNRCON,Engineering & Construction
KOHINOOR,Packaged Foods
KOKUYOCMLN,Business Equipment & Supplies
KOLTEPATIL,Real Estate—Development
KOPRAN,Drug Manufacturers—General
KOTAKBANK,Banks—Regional
KOTARISUG,Confectioners
KOTHARIPET,Specialty Chemicals
KOTHARIPRO,Conglomerates
KPIGREEN,Utilities—Renewable
KPIL,Engineering & Construction
KPITTECH,Information Technology Services
KPRMILL,Textile Manufacturing
KRBL,Packaged Foods
KREBSBIO,Drug Manufacturers—Specialty & Generic
KRIDHANINF,Steel
KRISHANA,Agricultural Inputs
KRITI,Building Products & Equipment
KRITIKA,Steel
KRITINUT,Packaged Foods
KRSNAA,Diagnostics & Research
KSB,Specialty Industrial Machinery
KSCL,Agricultural Inputs
KSHITIJPOL,
KSL,Steel
KSOLVES,Software—Application
KTKBANK,Banks—Regional
KUANTUM,Paper & Paper Products
L&TFH,Credit Services
LAGNAM,Textile Manufacturing
LAKPRE,Tools & Accessories
LAL,Apparel Manufacturing
LALPATHLAB,Diagnostics & Research
LAMBODHARA,Textile Manufacturing
LANDMARK,Auto & Truck Dealerships
LAOPALA,"Furnishings, Fixtures & Appliances"
LASA,Drug Manufacturers—Specialty & Generic
LATENTVIEW,Consulting Services
LATTEYS,Specialty Industrial Machinery
LAURUSLABS,Drug Manufacturers—Specialty & Generic
LAXMICOT,Textile Manufacturing
LAXMIMACH,Specialty Industrial Machinery
LCCINFOTEC,Education & Training Services
LEMONTREE,Lodging
LEXUS,Building Products & Equipment
LFIC,Asset Management
LGBBROSLTD,Auto Parts
LGBFORGE,Metal Fabrication
LGHL,Luxury Goods
LIBAS,Apparel Manufacturing
LIBERTSHOE,Footwear & Accessories
LICHSGFIN,Mortgage Finance
LICI,Insurance—Life
LIKHITHA,Oil & Gas Equipment & Services
LINC,Business Equipment & Supplies
LINCOLN,Drug Manufacturers—Specialty & Generic
LINDEINDIA,Specialty Chemicals
LLOYDSENGG,Specialty Industrial Machinery
LLOYDSME,Steel
LODHA,Real Estate—Development
LOKESHMACH,Specialty Industrial Machinery
LORDSCHLO,Chemicals
LOTUSEYE,Medical Care Facilities
LOVABLE,Apparel Manufacturing
LOYALTEX,Textile Manufacturing
LPDC,Real Estate Services
LT,Engineering & Construction
LTFOODS,Packaged Foods
LTIM,Information Technology Services
LTTS,Information Technology Services
LUMAXIND,Auto Parts
LUMAXTECH,Auto Parts
LUPIN,Drug Manufacturers—Specialty & Generic
LUXIND,Apparel Manufacturing
LXCHEM,Specialty Chemicals
LYKALABS,Biotechnology
LYPSAGEMS,Luxury Goods
M&M,Auto Manufacturers
M&MFIN,Credit Services
MAANALU,Aluminum
MACPOWER,Specialty Industrial Machinery
MADHAV,Building Products & Equipment
MADHUCON,Engineering & Construction
MADRASFERT,Agricultural Inputs
MAGADSUGAR,Confectioners
MAGNUM,Paper & Paper Products
MAHABANK,Banks—Regional
MAHAPEXLTD,Credit Services
MAHASTEEL,Steel
MAHEPC,Farm & Heavy Construction Machinery
MAHESHWARI,Integrated Freight & Logistics
MAHLIFE,Real Estate—Development
MAHLOG,Integrated Freight & Logistics
MAHSCOOTER,Auto Parts
MAHSEAMLES,Steel
MAITHANALL,Steel
MALLCOM,Security & Protection Services
MALUPAPER,Paper & Paper Products
MANAKALUCO,Aluminum
MANAKCOAT,Metal Fabrication
MANAKSIA,Metal Fabrication
MANAKSTEEL,Steel
MANALIPETC,Specialty Chemicals
MANAPPURAM,Credit Services
MANGALAM,Drug Manufacturers—Specialty & Generic
MANGCHEFER,Agricultural Inputs
MANGLMCEM,Building Materials
MANINDS,Steel
MANINFRA,Engineering & Construction
MANKIND,Drug Manufacturers—Specialty & Generic
MANOMAY,Textile Manufacturing
MANORAMA,Packaged Foods
MANORG,Specialty Chemicals
MANUGRAPH,Specialty Industrial Machinery
MANYAVAR,Apparel Manufacturing
MAPMYINDIA,Software—Application
MARALOVER,Textile Manufacturing
MARATHON,Real Estate—Development
MARICO,Household & Personal Products
MARINE,Marine Shipping
MARKSANS,Drug Manufacturers—General
MARSHALL,Specialty Industrial Machinery
MARUTI,Auto Manufacturers
MASFIN,Credit Services
MASKINVEST,Capital Markets
MASTEK,Information Technology Services
MATRIMONY,Internet Content & Information
MAWANASUG,Confectioners
MAXESTATES,Real Estate—Development
MAXHEALTH,Medical Care Facilities
MAXIND,Medical Care Facilities
MAYURUNIQ,Textile Manufacturing
MAZDA,Specialty Industrial Machinery
MAZDOCK,Aerospace & Defense
MBAPL,Agricultural Inputs
MBECL,Engineering & Construction
MBLINFRA,Engineering & Construction
MCDOWELL-N,Beverages—Wineries & Distilleries
MCL,Copper
MCLEODRUSS,Packaged Foods
MCX,Financial Data & Stock Exchanges
MEDANTA,Medical Care Facilities
MEDIASSIST,Healthcare Plans
MEDICAMEQ,Drug Manufacturers—Specialty & Generic
MEDICO,Drug Manufacturers—Specialty & Generic
MEDPLUS,Pharmaceutical Retailers
MEGASOFT,Drug Manufacturers—Specialty & Generic
MEGASTAR,Packaged Foods
MELSTAR,Software—Application
MENONBE,Auto Parts
MEP,Infrastructure Operations
METALFORGE,Metal Fabrication
METROBRAND,Apparel Retail
METROPOLIS,Diagnostics & Research
MFSL,Insurance—Life
MGEL,Farm Products
MGL,Utilities—Regulated Gas
MHLXMIRU,Textile Manufacturing
MHRIL,Resorts & Casinos
MICEL,Electronic Components
MIDHANI,Steel
MINDACORP,Auto Parts
MINDTECK,Information Technology Services
MIRCELECTR,"Furnishings, Fixtures & Appliances"
MIRZAINT,Footwear & Accessories
MITCON,Engineering & Construction
MITTAL,Textile Manufacturing
MKPL,Packaged Foods
MMFL,Metal Fabrication
MMP,Aluminum
MMTC,Conglomerates
MODIRUBBER,Real Estate Services
MODISONLTD,Electrical Equipment & Parts
MODTHREAD,
MOHITIND,Textile Manufacturing
MOIL,Other Industrial Metals & Mining
MOKSH,Luxury Goods
MOL,Agricultural Inputs
MOLDTECH,Engineering & Construction
MOLDTKPAC,Packaging & Containers
MONARCH,Capital Markets
MONTECARLO,Apparel Manufacturing
MORARJEE,Textile Manufacturing
MOREPENLAB,Drug Manufacturers—Specialty & Generic
MOTHERSON,Auto Parts
MOTILALOFS,Capital Markets
MOTISONS,Luxury Goods
MOTOGENFIN,Real Estate Services
MPHASIS,Information Technology Services
MPSLTD,Publishing
MRF,Auto Parts
MRO-TEK,Communication Equipment
MRPL,Oil & Gas Refining & Marketing
MSPL,Steel
MSTCLTD,Conglomerates
MSUMI,Auto Parts
MTARTECH,Specialty Industrial Machinery
MTEDUCARE,Education & Training Services
MTNL,Telecom Services
MUFIN,Credit Services
MUFTI,Apparel Retail
MUKANDLTD,Steel
MUKTAARTS,Entertainment
MUNJALAU,Auto Parts
MUNJALSHOW,Auto Parts
MURUDCERA,Building Products & Equipment
MUTHOOTCAP,Credit Services
MUTHOOTFIN,Credit Services
MUTHOOTMF,Credit Services
MVGJL,Luxury Goods
NACLIND,Agricultural Inputs
NAGAFERT,Agricultural Inputs
NAGREEKCAP,Capital Markets
NAGREEKEXP,Textile Manufacturing
NAHARCAP,Capital Markets
NAHARINDUS,Textile Manufacturing
NAHARPOLY,Packaging & Containers
NAHARSPING,Textile Manufacturing
NAM-INDIA,Asset Management
NARMADA,Agricultural Inputs
NATCOPHARM,Drug Manufacturers—Specialty & Generic
NATHBIOGEN,Agricultural Inputs
NATIONALUM,Aluminum
NAUKRI,Internet Content & Information
NAVA,Conglomerates
NAVINFLUOR,Chemicals
NAVKARCORP,Integrated Freight & Logistics
NAVNETEDUL,Publishing
NAZARA,Electronic Gaming & Multimedia
NBCC,Engineering & Construction
NBIFIN,Capital Markets
NCC,Engineering & Construction
NCLIND,Building Materials
NDGL,Capital Markets
NDL,Textile Manufacturing
NDLVENTURE,Entertainment
NDRAUTO,Auto Parts
NDTV,Broadcasting
NECCLTD,Trucking
NECLIFE,Drug Manufacturers—Specialty & Generic
NELCAST,Metal Fabrication
NELCO,Communication Equipment
NEOGEN,Specialty Chemicals
NESCO,Conglomerates
NESTLEIND,Packaged Foods
NETWEB,Computer Hardware
NETWORK18,Broadcasting
NEULANDLAB,Drug Manufacturers—Specialty & Generic
NEWGEN,Software—Application
NEXTMEDIA,Broadcasting
NFL,Agricultural Inputs
NGIL,Packaged Foods
NGLFINE,Drug Manufacturers—General
NH,Medical Care Facilities
NHPC,Utilities—Renewable
NIACL,Insurance—Diversified
NIBL,Tools & Accessories
NIITLTD,Education & Training Services
NIITMTS,Education & Training Services
NILAINFRA,Real Estate—Development
NILASPACES,Real Estate—Development
NILKAMAL,"Furnishings, Fixtures & Appliances"
NINSYS,Information Technology Services
NIPPOBATRY,Electrical Equipment & Parts
NIRAJ,Engineering & Construction
NIRAJISPAT,
NITCO,Building Products & Equipment
NITINSPIN,Textile Manufacturing
NITIRAJ,Scientific & Technical Instruments
NKIND,Household & Personal Products
NLCINDIA,Utilities—Regulated Electric
NMDC,Steel
NOCIL,Specialty Chemicals
NOIDATOLL,Infrastructure Operations
NORBTEAEXP,Farm Products
NOVAAGRI,Agricultural Inputs
NRAIL,Paper & Paper Products
NRBBEARING,Auto Parts
NRL,Waste Management
NSIL,Asset Management
NSLNISP,Steel
NTPC,Utilities—Regulated Electric
NUCLEUS,Software—Application
NURECA,Medical Devices
NUVAMA,Asset Management
NUVOCO,Building Materials
NYKAA,Internet Retail
OAL,Specialty Chemicals
OBCL,Trucking
OBEROIRLTY,Real Estate—Development
OCCL,Chemicals
OFSS,Software—Infrastructure
OIL,Oil & Gas E&P
OILCOUNTUB,Oil & Gas Equipment & Services
OLECTRA,Farm & Heavy Construction Machinery
OMAXAUTO,Auto Parts
OMAXE,Real Estate—Development
OMINFRAL,Engineering & Construction
OMKARCHEM,Specialty Chemicals
ONELIFECAP,Capital Markets
ONEPOINT,Specialty Business Services
ONGC,Oil & Gas Integrated
ONMOBILE,Telecom Services
ONWARDTEC,Information Technology Services
OPTIEMUS,Electronics & Computer Distribution
ORBTEXP,Textile Manufacturing
ORCHPHARMA,Drug Manufacturers—Specialty & Generic
ORICONENT,Packaging & Containers
ORIENTALTL,Building Products & Equipment
ORIENTBELL,Building Products & Equipment
ORIENTCEM,Building Materials
ORIENTCER,Specialty Chemicals
ORIENTELEC,"Furnishings, Fixtures & Appliances"
ORIENTHOT,Lodging
ORIENTLTD,Packaging & Containers
ORIENTPPR,Paper & Paper Products
ORISSAMINE,Other Industrial Metals & Mining
ORTEL,Entertainment
ORTINLAB,Drug Manufacturers—Specialty & Generic
OSIAHYPER,Department Stores
OSWALAGRO,Real Estate—Development
OSWALGREEN,Asset Management
OSWALSEEDS,Agricultural Inputs
PAGEIND,Apparel Manufacturing
PAISALO,Credit Services
PAKKA,Paper & Paper Products
PALASHSECU,Packaged Foods
PALREDTEC,Consumer Electronics
PANACEABIO,Biotechnology
PANACHE,Communication Equipment
PANAMAPET,Oil & Gas Refining & Marketing
PANSARI,Real Estate—Development
PAR,Drug Manufacturers—Specialty & Generic
PARACABLES,Communication Equipment
PARADEEP,Agricultural Inputs
PARAGMILK,Packaged Foods
PARAS,Aerospace & Defense
PARASPETRO,Textile Manufacturing
PARKHOTELS,Lodging
PARSVNATH,Real Estate—Development
PASUPTAC,Textile Manufacturing
PATANJALI,Packaged Foods
PATELENG,Engineering & Construction
PATINTLOG,Integrated Freight & Logistics
PAVNAIND,Auto Parts
PAYTM,Software—Infrastructure
PCBL,Specialty Chemicals
PCJEWELLER,Luxury Goods
PDMJEPAPER,Paper & Paper Products
PDSL,Specialty Business Services
PEARLPOLY,Packaging & Containers
PEL,Financial Conglomerates
PENIND,Specialty Industrial Machinery
PENINLAND,Real Estate—Development
PERSISTENT,Information Technology Services
PETRONET,Oil & Gas Refining & Marketing
PFC,Credit Services
PFIZER,Drug Manufacturers—General
PFOCUS,Entertainment
PFS,Credit Services
PGEL,Electronic Components
PGHH,Household & Personal Products
PGHL,Drug Manufacturers—Specialty & Generic
PGIL,Apparel Manufacturing
PHOENIXLTD,Real Estate—Diversified
PIDILITIND,Specialty Chemicals
PIGL,Engineering & Construction
PIIND,Agricultural Inputs
PILANIINVS,Asset Management
PILITA,"Furnishings, Fixtures & Appliances"
PIONEEREMB,Textile Manufacturing
PITTIENG,Metal Fabrication
PIXTRANS,Specialty Industrial Machinery
PKTEA,Farm Products
PLASTIBLEN,Specialty Chemicals
PLAZACABLE,Electrical Equipment & Parts
PNB,Banks—Regional
PNBGILTS,Capital Markets
PNBHOUSING,Mortgage Finance
PNC,Entertainment
PNCINFRA,Engineering & Construction
POCL,Specialty Chemicals
PODDARHOUS,Real Estate—Development
PODDARMENT,Specialty Chemicals
POKARNA,Building Products & Equipment
POLICYBZR,Insurance Brokers
POLYCAB,Electrical Equipment & Parts
POLYMED,Medical Instruments & Supplies
POLYPLEX,Specialty Chemicals
PONNIERODE,Confectioners
POONAWALLA,Credit Services
POWERGRID,Utilities—Regulated Electric
POWERINDIA,Electronic Components
POWERMECH,Engineering & Construction
PPAP,Auto Parts
PPL,Building Products & Equipment
PPLPHARMA,Drug Manufacturers—Specialty & Generic
PRAENG,Real Estate—Development
PRAJIND,Engineering & Construction
PRAKASH,Steel
PRAKASHSTL,Steel
PRAXIS,Specialty Retail
PRECAM,Auto Parts
PRECOT,Textile Manufacturing
PRECWIRE,Electrical Equipment & Parts
PREMEXPLN,Specialty Chemicals
PREMIER,Specialty Industrial Machinery
PREMIERPOL,Specialty Chemicals
PRESTIGE,Real Estate—Diversified
PRICOLLTD,Auto Parts
PRIMESECU,Capital Markets
PRINCEPIPE,Building Products & Equipment
PRITI,"Furnishings, Fixtures & Appliances"
PRITIKAUTO,Specialty Industrial Machinery
PRIVISCL,Specialty Chemicals
PROZONER,Real Estate—Diversified
PRSMJOHNSN,Building Materials
PRUDENT,Asset Management
PRUDMOULI,
PSB,Banks—Regional
PSPPROJECT,Engineering & Construction
PTC,Utilities—Independent Power Producers
PTCIL,Metal Fabrication
PTL,Real Estate Services
PUNJABCHEM,Chemicals
PURVA,Real Estate—Development
PVP,Conglomerates
PVRINOX,Entertainment
PYRAMID,Packaging & Containers
QUESS,Staffing & Employment Services
QUICKHEAL,Software—Application
QUINTEGRA,Information Technology Services
RACE,Waste Management
RADAAN,Entertainment
RADHIKAJWE,Luxury Goods
RADIANTCMS,Specialty Business Services
RADICO,Beverages—Wineries & Distilleries
RADIOCITY,Broadcasting
RAILTEL,Telecom Services
RAIN,Chemicals
RAINBOW,Medical Care Facilities
RAJESHEXPO,Luxury Goods
RAJMET,Copper
RAJRATAN,Steel
RAJRILTD,Textile Manufacturing
RAJSREESUG,Confectioners
RAJTV,Broadcasting
RAJVIR,Textile Manufacturing
RALLIS,Agricultural Inputs
RAMANEWS,Paper & Paper Products
RAMAPHO,Agricultural Inputs
RAMASTEEL,Steel
RAMCOCEM,Building Materials
RAMCOIND,Building Products & Equipment
RAMCOSYS,Software—Application
RAMKY,Engineering & Construction
RAMRAT,Electrical Equipment & Parts
RANASUG,Confectioners
RANEENGINE,Auto Parts
RANEHOLDIN,Auto Parts
RATEGAIN,Software—Application
RATNAMANI,Steel
RATNAVEER,Steel
RAYMOND,Textile Manufacturing
RBA,Restaurants
RBL,Auto Parts
RBLBANK,Banks—Regional
RBZJEWEL,Luxury Goods
RCF,Agricultural Inputs
RCOM,Telecom Services
RECLTD,Credit Services
REDINGTON,Information Technology Services
REDTAPE,Footwear & Accessories
REFEX,Thermal Coal
REGENCERAM,Building Products & Equipment
RELAXO,Footwear & Accessories
RELCHEMQ,Textile Manufacturing
RELIANCE,Oil & Gas Refining & Marketing
RELIGARE,Insurance—Life
RELINFRA,Utilities—Independent Power Producers
REMSONSIND,Auto Parts
RENUKA,Confectioners
REPCOHOME,Mortgage Finance
REPL,Consulting Services
REPRO,Specialty Business Services
RESPONIND,Specialty Chemicals
RGL,Luxury Goods
RHFL,Mortgage Finance
RHIM,Metal Fabrication
RHL,Lodging
RICOAUTO,Auto Parts
RIIL,Engineering & Construction
RISHABH,Scientific & Technical Instruments
RITCO,Integrated Freight & Logistics
RITES,Engineering & Construction
RKDL,Beverages—Wineries & Distilleries
RKEC,Engineering & Construction
RKFORGE,Tools & Accessories
RML,Auto Parts
ROHLTD,Lodging
ROLEXRINGS,Metal Fabrication
ROLLT,Conglomerates
ROLTA,Information Technology Services
ROML,
ROSSARI,Specialty Chemicals
ROSSELLIND,Conglomerates
ROTO,Specialty Industrial Machinery
ROUTE,Telecom Services
RPGLIFE,Drug Manufacturers—Specialty & Generic
RPOWER,Utilities—Independent Power Producers
RPPINFRA,Engineering & Construction
RPPL,Packaging & Containers
RPSGVENT,Information Technology Services
RPTECH,Electronics & Computer Distribution
RRKABEL,Electrical Equipment & Parts
RSSOFTWARE,Information Technology Services
RSWM,Textile Manufacturing
RSYSTEMS,Information Technology Services
RTNINDIA,Internet Retail
RTNPOWER,Utilities—Renewable
RUBYMILLS,Textile Manufacturing
RUCHINFRA,Specialty Business Services
RUCHIRA,Paper & Paper Products
RUPA,Apparel Manufacturing
RUSHIL,"Furnishings, Fixtures & Appliances"
RUSTOMJEE,Real Estate—Development
RVHL,Real Estate—Development
RVNL,Engineering & Construction
S&SPOWER,Electrical Equipment & Parts
SABEVENTS,Publishing
SADBHAV,Engineering & Construction
SADBHIN,Engineering & Construction
SADHNANIQ,
SAFARI,Footwear & Accessories
SAGARDEEP,Copper
SAGCEM,Building Materials
SAH,Packaging & Containers
SAHYADRI,Building Products & Equipment
SAIL,Steel
SAKAR,Drug Manufacturers—Specialty & Generic
SAKHTISUG,Confectioners
SAKSOFT,Information Technology Services
SAKUMA,Farm Products
SALASAR,Steel
SALONA,Textile Manufacturing
SALSTEEL,Steel
SALZERELEC,Electrical Equipment & Parts
SAMBHAAV,Publishing
SAMHI,Lodging
SAMPANN,Specialty Chemicals
SANCO,Electrical Equipment & Parts
SANDESH,Publishing
SANDHAR,Auto Parts
SANDUMA,Steel
SANGAMIND,Textile Manufacturing
SANGHIIND,Building Materials
SANGHVIMOV,Rental & Leasing Services
SANGINITA,Chemicals
SANOFI,Drug Manufacturers—General
SANSERA,Metal Fabrication
SANWARIA,Farm Products
SAPPHIRE,Restaurants
SARDAEN,Steel
SAREGAMA,Entertainment
SARLAPOLY,Textile Manufacturing
SARVESHWAR,Packaged Foods
SASKEN,Information Technology Services
SASTASUNDR,Pharmaceutical Retailers
SATIA,Paper & Paper Products
SATIN,Credit Services
SATINDLTD,
SAURASHCEM,Building Materials
SBC,Conglomerates
SBCL,Metal Fabrication
SBFC,Credit Services
SBGLP,Real Estate—Development
SBICARD,Credit Services
SBILIFE,Insurance—Life
SBIN,Banks—Regional
SCHAEFFLER,Auto Parts
SCHAND,Publishing
SCHNEIDER,Electrical Equipment & Parts
SCI,Marine Shipping
SCPL,Packaged Foods
SDBL,Beverages—Brewers
SEAMECLTD,Marine Shipping
SECMARK,Consulting Services
SECURCRED,Specialty Business Services
SECURKLOUD,Software—Application
SEJALLTD,Building Products & Equipment
SELAN,Oil & Gas E&P
SELMC,Textile Manufacturing
SEMAC,Farm & Heavy Construction Machinery
SENCO,Luxury Goods
SEPC,Engineering & Construction
SEQUENT,Drug Manufacturers—Specialty & Generic
SERVOTECH,
SESHAPAPER,Paper & Paper Products
SETCO,Auto Parts
SETUINFRA,Engineering & Construction
SEYAIND,Specialty Chemicals
SFL,"Furnishings, Fixtures & Appliances"
SGIL,Metal Fabrication
SGL,Textile Manufacturing
SHAH,Steel
SHAHALLOYS,Steel
SHAILY,Specialty Chemicals
SHAKTIPUMP,Specialty Industrial Machinery
SHALBY,Medical Care Facilities
SHALPAINTS,Specialty Chemicals
SHANKARA,Home Improvement Retail
SHANTI,Farm Products
SHANTIGEAR,Specialty Industrial Machinery
SHARDACROP,Agricultural Inputs
SHARDAMOTR,Auto Parts
SHAREINDIA,Capital Markets
SHEMAROO,Entertainment
SHILPAMED,Drug Manufacturers—Specialty & Generic
SHIVALIK,
SHIVAMAUTO,Auto Parts
SHIVAMILLS,Textile Manufacturing
SHIVATEX,Textile Manufacturing
SHK,Specialty Chemicals
SHOPERSTOP,Department Stores
SHRADHA,Real Estate Services
SHREDIGCEM,Building Materials
SHREECEM,Building Materials
SHREEPUSHK,Specialty Chemicals
SHREERAMA,Packaging & Containers
SHRENIK,Paper & Paper Products
SHREYANIND,Paper & Paper Products
SHREYAS,Marine Shipping
SHRIPISTON,Auto Parts
SHRIRAMFIN,Credit Services
SHRIRAMPPS,Real Estate—Development
SHYAMCENT,Steel
SHYAMMETL,Steel
SHYAMTEL,Communication Equipment
SICALLOG,Integrated Freight & Logistics
SIEMENS,Specialty Industrial Machinery
SIGACHI,Drug Manufacturers—Specialty & Generic
SIGIND,Specialty Chemicals
SIGMA,Information Technology Services
SIGNATURE,Real Estate—Development
SIGNPOST,Advertising Agencies
SIKKO,Agricultural Inputs
SIL,Textile Manufacturing
SILGO,Luxury Goods
SILGO-RE,
SILINV,Asset Management
SILLYMONKS,Entertainment
SILVERTUC,Information Technology Services
SIMBHALS,Confectioners
SIMPLEXINF,Engineering & Construction
SINDHUTRAD,Conglomerates
SINTERCOM,Auto Parts
SIRCA,Specialty Chemicals
SIS,Security & Protection Services
SITINET,Entertainment
SIYSIL,Textile Manufacturing
SJS,Auto Parts
SJVN,Utilities—Renewable
SKFINDIA,Tools & Accessories
SKIL,Engineering & Construction
SKIPPER,Engineering & Construction
SKMEGGPROD,Packaged Foods
SKYGOLD,Luxury Goods
SMARTLINK,Communication Equipment
SMCGLOBAL,Capital Markets
SMLISUZU,Auto Manufacturers
SMLT,Metal Fabrication
SMSLIFE,Biotechnology
SMSPHARMA,Drug Manufacturers—General
SNOWMAN,Integrated Freight & Logistics
SOBHA,Real Estate—Development
SOFTTECH,Software—Application
SOLARA,Drug Manufacturers—Specialty & Generic
SOLARINDS,Specialty Chemicals
SOMANYCERA,Building Products & Equipment
SOMATEX,Textile Manufacturing
SOMICONVEY,Specialty Industrial Machinery
SONACOMS,Auto Parts
SONAMLTD,"Furnishings, Fixtures & Appliances"
SONATSOFTW,Information Technology Services
SOTL,Specialty Chemicals
SOUTHBANK,Banks—Regional
SOUTHWEST,Oil & Gas Equipment & Services
SPAL,Apparel Manufacturing
SPANDANA,Credit Services
SPARC,Drug Manufacturers—Specialty & Generic
SPCENET,Capital Markets
SPECIALITY,Restaurants
SPENCERS,Department Stores
SPIC,Agricultural Inputs
SPLIL,Apparel Manufacturing
SPLPETRO,Specialty Chemicals
SPMLINFRA,Engineering & Construction
SPORTKING,Textile Manufacturing
SPTL,Auto Parts
SPYL,Textile Manufacturing
SREEL,Footwear & Accessories
SRF,Specialty Chemicals
SRGHFL,Mortgage Finance
SRHHYPOLTD,Chemicals
SRPL,Farm Products
SSWL,Auto Parts
STAR,Drug Manufacturers—Specialty & Generic
STARCEMENT,Building Materials
STARHEALTH,Insurance—Diversified
STARPAPER,Paper & Paper Products
STARTECK,Credit Services
STCINDIA,Conglomerates
STEELCAS,Steel
STEELCITY,Capital Markets
STEELXIND,Steel
STEL,Farm Products
STERTOOLS,Tools & Accessories
STLTECH,Electrical Equipment & Parts
STOVEKRAFT,"Furnishings, Fixtures & Appliances"
STYLAMIND,"Furnishings, Fixtures & Appliances"
STYRENIX,Chemicals
SUBEXLTD,Software—Application
SUBROS,Auto Parts
SUDARSCHEM,Specialty Chemicals
SUKHJITS,Specialty Chemicals
SULA,Beverages—Wineries & Distilleries
SUMEETINDS,Textile Manufacturing
SUMICHEM,Agricultural Inputs
SUMIT,Real Estate—Development
SUMMITSEC,Capital Markets
SUNCLAY,Metal Fabrication
SUNDARAM,Paper & Paper Products
SUNDARMFIN,Credit Services
SUNDARMHLD,Specialty Business Services
SUNDRMBRAK,Auto Parts
