SYMBOL,INDUSTRY
AVTNPL,Specialty Chemicals
AWHCL,Waste Management
AWL,Packaged Foods
AXISBANK,Banks - Regional
AXISCADES,Engineering & Construction
AXITA,Textile Manufacturing
AYMSYNTEX,Textile Manufacturing
AZAD,Specialty Industrial Machinery
BAFNAPH,Drug Manufacturers - Specialty & Generic
BAGFILMS,Broadcasting
BAIDFIN,Credit Services
BAJAJ-AUTO,Auto Manufacturers
BAJAJCON,Household & Personal Products
BAJAJELEC,"Furnishings, Fixtures & Appliances"
BAJAJFINSV,Financial Conglomerates
BAJAJHCARE,Drug Manufacturers - Specialty & Generic
BAJAJHIND,Confectioners
BAJAJHLDNG,Asset Management
BAJEL,
BAJFINANCE,Credit Services
BALAJITELE,Entertainment
BALAMINES,Specialty Chemicals
BALAXI,
BALKRISHNA,Packaging & Containers
BALKRISIND,Auto Parts
BALMLAWRIE,Conglomerates
BALPHARMA,Drug Manufacturers - Specialty & Generic
BALRAMCHIN,Confectioners
BANARBEADS,Footwear & Accessories
BANARISUG,Confectioners
BANCOINDIA,Auto Parts
BANDHANBNK,Banks - Regional
BANG,Apparel Manufacturing
BANKA,Pollution & Treatment Controls
BANKBARODA,Banks - Regional
BANKINDIA,Banks - Regional
BANSWRAS,Textile Manufacturing
BARBEQUE,Restaurants
BASF,Specialty Chemicals
BASML,Textile Manufacturing
BATAINDIA,Footwear & Accessories
BAYERCROP,Agricultural Inputs
BBL,Electrical Equipment & Parts
BBOX,Software - Application
BBTC,Packaged Foods
BBTCL,Packaging & Containers
BCG,Advertising Agencies
BCLIND,Household & Personal Products
BCONCEPTS,Footwear & Accessories
BDL,Aerospace & Defense
BEARDSELL,Building Products & Equipment
BECTORFOOD,Packaged Foods
BEDMUTHA,Steel
BEL,Aerospace & Defense
BEML,Conglomerates
BEPL,Chemicals
BERGEPAINT,Specialty Chemicals
BFINVEST,Asset Management
BFUTILITIE,Utilities - Renewable
BGLOBAL,Software - Application
BGRENERGY,Engineering & Construction
BHAGCHEM,Agricultural Inputs
BHAGERIA,Specialty Chemicals
BHAGYANGR,Copper
BHANDARI,Apparel Manufacturing
BHARATFORG,Auto Parts
BHARATGEAR,Auto Parts
BHARATRAS,Agricultural Inputs
BHARATWIRE,Steel
BHARTIARTL,Telecom Services
BHEL,Specialty Industrial Machinery
BIGBLOC,Building Products & Equipment
BIKAJI,Packaged Foods
BIL,Footwear & Accessories
BINANIIND,Specialty Chemicals
BIOCON,Biotechnology
BIOFILCHEM,Drug Manufacturers - Specialty & Generic
BIRLACABLE,Communication Equipment
BIRLACORPN,Building Materials
BIRLAMONEY,Capital Markets
BKMINDST,Packaging & Containers
BLAL,Farm & Heavy Construction Machinery
BLBLIMITED,Capital Markets
BLISSGVS,Drug Manufacturers - Specialty & Generic
BLKASHYAP,Engineering & Construction
BLS,Specialty Business Services
BLSE,Specialty Business Services
BLUECHIP,Capital Markets
BLUECOAST,Lodging
BLUEDART,Integrated Freight & Logistics
BLUEJET,Biotechnology
BLUESTARCO,Building Products & Equipment
BODALCHEM,Specialty Chemicals
BOHRAIND,Agricultural Inputs
BOMDYEING,Textile Manufacturing
BOROLTD,"Furnishings, Fixtures & Appliances"
BORORENEW,Packaging & Containers
BOSCHLTD,Auto Parts
BPCL,Oil & Gas Refining & Marketing
BPL,Consumer Electronics
BRIGADE,Real Estate - Development
BRITANNIA,Packaged Foods
BRNL,Infrastructure Operations
BROOKS,Drug Manufacturers - Specialty & Generic
BSE,Financial Data & Stock Exchanges
BSHSL,Agricultural Inputs
BSL,Textile Manufacturing
BSOFT,Information Technology Services
BTML,Entertainment
BURNPUR,Building Materials
BUTTERFLY,"Furnishings, Fixtures & Appliances"
BVCL,Building Materials
BYKE,Lodging
CALSOFT,Software - Application
CAMLINFINE,Specialty Chemicals
CAMPUS,Footwear & Accessories
CAMS,Information Technology Services
CANBK,Banks - Regional
CANFINHOME,Mortgage Finance
CANTABIL,Apparel Manufacturing
CAPACITE,Engineering & Construction
CAPITALSFB,Banks - Regional
CAPLIPOINT,Drug Manufacturers - Specialty & Generic
CAPTRUST,Credit Services
CARBORUNIV,Conglomerates
CAREERP,Conglomerates
CARERATING,Financial Data & Stock Exchanges
CARTRADE,Auto & Truck Dealerships
CARYSIL,"Furnishings, Fixtures & Appliances"
CASTROLIND,Oil & Gas Refining & Marketing
CCHHL,Lodging
CCL,Packaged Foods
CDSL,Capital Markets
CEATLTD,Auto Parts
CELEBRITY,Apparel Manufacturing
CELLO,"Furnishings, Fixtures & Appliances"
CENTENKA,Textile Manufacturing
CENTEXT,Aluminum
CENTRALBK,Banks - Regional
CENTRUM,Financial Conglomerates
CENTUM,Electronic Components
CENTURYPLY,Lumber & Wood Production
CENTURYTEX,Paper & Paper Products
CERA,Building Products & Equipment
CEREBRAINT,Computer Hardware
CESC,Utilities - Regulated Electric
CGCL,Credit Services
CGPOWER,Electrical Equipment & Parts
CHALET,Lodging
CHAMBLFERT,Agricultural Inputs
CHEMBOND,Specialty Chemicals
CHEMCON,Specialty Chemicals
CHEMFAB,Specialty Chemicals
CHEMPLASTS,Chemicals
CHENNPETRO,Oil & Gas Refining & Marketing
CHEVIOT,Textile Manufacturing
CHOICEIN,Capital Markets
CHOLAFIN,Credit Services
CHOLAHLDNG,Credit Services
CIEINDIA,Auto Parts
CIGNITITEC,Information Technology Services
CINELINE,Real Estate Services
CINEVISTA,Entertainment
CIPLA,Drug Manufacturers - General
CLEAN,Specialty Chemicals
CLEDUCATE,Education & Training Services
CLSEL,
CMICABLES,Electrical Equipment & Parts
